subj,subj_head,obj,obj_head,root,sent
,,seat, ,,GMC Envoy/Envoy XL Owner Manual M  Front Seats Rear Seats Safety Belts Child Restraints Air Bag Systems Restraint System Check  Seats and Restraint Systems
,,vehicle,drive,door," Keys Doors and Locks Windows Theft-Deterrent Systems Starting and Operating Your Vehicle Mirrors OnStar® System HomeLink® Transmitter Storage Areas Sunroof Vehicle Personalization  Instrument Panel Overview Climate Controls Warning Lights, Gages, and Indicators Driver Information Center (DIC) Audio System(s)  Your Driving, the Road, and Your Vehicle Towing  Driving Your Vehicle ....................................... 4-1 ..... 4-2 ................................................... 4-45 Service and Appearance Care .......................... 5-1 Service ..................................................... 5-3 Fuel ......................................................... 5-4 Checking Things Under the Hood ............... 5-10 Rear Axle ............................................... 5-48 Four-Wheel Drive ..................................... 5-49 Front Axle ............................................... 5-50 Bulb Replacement .................................... 5-51 Windshield Wiper Blade Replacement ......... 5-53 Tires ...................................................... 5-55 Appearance Care ..................................... 5-88 Vehicle Identiﬁcation ................................. 5-95 Electrical System ...................................... 5-96 Capacities and Speciﬁcations ................... 5-109 Maintenance Schedule ..................................... 6-1 ................................ 6-2 Customer Assistance and Information .............. 7-1 ........... 7-2 ........................... 7-11 Index ................................................................ 1  Customer Assistance and Information Reporting Safety Defects  Maintenance Schedule  Canadian Owners"
,,thing,check,door," Keys Doors and Locks Windows Theft-Deterrent Systems Starting and Operating Your Vehicle Mirrors OnStar® System HomeLink® Transmitter Storage Areas Sunroof Vehicle Personalization  Instrument Panel Overview Climate Controls Warning Lights, Gages, and Indicators Driver Information Center (DIC) Audio System(s)  Your Driving, the Road, and Your Vehicle Towing  Driving Your Vehicle ....................................... 4-1 ..... 4-2 ................................................... 4-45 Service and Appearance Care .......................... 5-1 Service ..................................................... 5-3 Fuel ......................................................... 5-4 Checking Things Under the Hood ............... 5-10 Rear Axle ............................................... 5-48 Four-Wheel Drive ..................................... 5-49 Front Axle ............................................... 5-50 Bulb Replacement .................................... 5-51 Windshield Wiper Blade Replacement ......... 5-53 Tires ...................................................... 5-55 Appearance Care ..................................... 5-88 Vehicle Identiﬁcation ................................. 5-95 Electrical System ...................................... 5-96 Capacities and Speciﬁcations ................... 5-109 Maintenance Schedule ..................................... 6-1 ................................ 6-2 Customer Assistance and Information .............. 7-1 ........... 7-2 ........................... 7-11 Index ................................................................ 1  Customer Assistance and Information Reporting Safety Defects  Maintenance Schedule  Canadian Owners"
manual,include,information,include,include,This manual includes the latest information at the time it was printed.
we,reserve,right,reserve,reserve,We reserve the right to make changes after that time without further notice.
we,reserve,change,make,reserve,We reserve the right to make changes after that time without further notice.
,,name,substitute,substitute,"For vehicles ﬁrst sold in Canada, substitute the name “General Motors of Canada Limited” for GMC whenever it appears in this manual."
,,manual,keep,keep," Please keep this manual in your vehicle, so it will be there if you ever need it when you’re on the road."
you,need,it,need,keep," Please keep this manual in your vehicle, so it will be there if you ever need it when you’re on the road."
you,sell,vehicle,sell,leave,"If you sell the vehicle, please leave this manual in it so the new owner can use it."
you,sell,manual,leave,leave,"If you sell the vehicle, please leave this manual in it so the new owner can use it."
owner,use,it,use,leave,"If you sell the vehicle, please leave this manual in it so the new owner can use it."
,,manual,use,use, How to Use This Manual  
people,read,manual,read,read,Many people read the owner manual from beginning to end when they ﬁrst receive their new vehicle.
they,receive,vehicle,receive,read,Many people read the owner manual from beginning to end when they ﬁrst receive their new vehicle.
you,do,this,do,help,"If you do this, it can help you learn about the features and controls for the vehicle."
picture,work,thing,explain,work,Pictures and words work together in the owner manual to explain things.
place,be,what,need,be,A good place to look for what you need is the Index in back of the manual.
you,ﬁnd,it,ﬁnd,be,"It is an alphabetical list of what is in the manual, and the page number where you will ﬁnd it."
you,ﬁnd,number,ﬁnd,ﬁnd,You will ﬁnd a number of safety cautions in this book.
we,use,box,use,use,We use a box and the word CAUTION to tell you about things that could hurt you if you were to ignore the warning.
we,use,you,tell,use,We use a box and the word CAUTION to tell you about things that could hurt you if you were to ignore the warning.
that,hurt,you,hurt,use,We use a box and the word CAUTION to tell you about things that could hurt you if you were to ignore the warning.
you,be,warning,ignore,use,We use a box and the word CAUTION to tell you about things that could hurt you if you were to ignore the warning.
that,hurt,you,hurt,caution,{CAUTION:  These mean there is something that could hurt you or other people.  
we,tell,you,tell,tell,"In the caution area, we tell you what the hazard is."
we,tell,you,tell,tell,Then we tell you what to do to help avoid or reduce the hazard.
we,tell,what,do,tell,Then we tell you what to do to help avoid or reduce the hazard.
we,tell,hazard,reduce,tell,Then we tell you what to do to help avoid or reduce the hazard.
,,caution,read,read,Please read these cautions.
you,ﬁnd,circle,ﬁnd,ﬁnd,You will also ﬁnd a circle with a slash through it in this book.
symbol,mean,this,do,tell,"This safety symbol means “Don’t,” “Don’t do this” or “Don’t let this happen.”  iii  Vehicle Damage Warnings  Vehicle Symbols  Also, in this manual you will ﬁnd these notices:  Notice: These mean there is something that could damage your vehicle.  A notice tells about something that can damage your vehicle."
this,happen,warning,mean,tell,"This safety symbol means “Don’t,” “Don’t do this” or “Don’t let this happen.”  iii  Vehicle Damage Warnings  Vehicle Symbols  Also, in this manual you will ﬁnd these notices:  Notice: These mean there is something that could damage your vehicle.  A notice tells about something that can damage your vehicle."
you,ﬁnd,notice,ﬁnd,tell,"This safety symbol means “Don’t,” “Don’t do this” or “Don’t let this happen.”  iii  Vehicle Damage Warnings  Vehicle Symbols  Also, in this manual you will ﬁnd these notices:  Notice: These mean there is something that could damage your vehicle.  A notice tells about something that can damage your vehicle."
that,damage,vehicle,damage,tell,"This safety symbol means “Don’t,” “Don’t do this” or “Don’t let this happen.”  iii  Vehicle Damage Warnings  Vehicle Symbols  Also, in this manual you will ﬁnd these notices:  Notice: These mean there is something that could damage your vehicle.  A notice tells about something that can damage your vehicle."
that,damage,vehicle,damage,tell,"This safety symbol means “Don’t,” “Don’t do this” or “Don’t let this happen.”  iii  Vehicle Damage Warnings  Vehicle Symbols  Also, in this manual you will ﬁnd these notices:  Notice: These mean there is something that could damage your vehicle.  A notice tells about something that can damage your vehicle."
notice,tell,you,tell,tell,But the notice will tell you what to do to help avoid the damage.
notice,tell,what,do,tell,But the notice will tell you what to do to help avoid the damage.
notice,tell,damage,avoid,tell,But the notice will tell you what to do to help avoid the damage.
you,read,manual,read,see," When you read other manuals, you might see CAUTION and NOTICE warnings in different colors or in different words."
you,see,warning,see,see," When you read other manuals, you might see CAUTION and NOTICE warnings in different colors or in different words."
they,use,word,use,use,"They use the same words, CAUTION or NOTICE."
vehicle,have,component,have,have, The vehicle has components and labels that use symbols instead of text.
that,use,symbol,use,have, The vehicle has components and labels that use symbols instead of text.
symbol,show,operation,describe,show,"Symbols are shown along with the text describing the operation or information relating to a speciﬁc component, control, message, gage, or indicator."
